assignment_id,employee_id,team_id,assignment_start,assignment_end,is_primary,assignment_type,note
TA-0052-1,EMP-0052,TEAM-CONTENT,2020-10-25,,TRUE,STANDARD,
TA-0053-1,EMP-0053,TEAM-CONTENT,2021-12-02,,TRUE,STANDARD,
TA-0054-1,EMP-0054,TEAM-CONTENT,2022-02-05,,TRUE,STANDARD,
TA-0055-1,EMP-0055,TEAM-CONTENT,2023-04-08,,TRUE,STANDARD,
TA-0056-1,EMP-0056,TEAM-CONTENT,2024-06-11,,TRUE,STANDARD,
TA-0057-1,EMP-0057,TEAM-INSIGHT,2020-05-21,2026-02-15,TRUE,STANDARD,
TA-0058-1,EMP-0058,TEAM-INSIGHT,2021-07-24,,TRUE,STANDARD,
TA-0059-1,EMP-0059,TEAM-INSIGHT,2022-09-01,,TRUE,STANDARD,
TA-0060-1,EMP-0060,TEAM-INSIGHT,2023-11-04,,TRUE,STANDARD,
TA-0061-1,EMP-0061,TEAM-INSIGHT,2024-01-07,,TRUE,STANDARD,
TA-0062-1,EMP-0062,TEAM-INSIGHT,2025-03-10,,TRUE,STANDARD,
TA-0063-1,EMP-0063,TEAM-INSIGHT,2017-05-13,,TRUE,STANDARD,
TA-0064-1,EMP-0064,TEAM-INSIGHT,2018-07-16,,TRUE,STANDARD,
TA-0065-1,EMP-0065,TEAM-INSIGHT,2019-09-19,,TRUE,STANDARD,
TA-0066-1,EMP-0066,TEAM-FRONTEND,2023-06-26,,TRUE,STANDARD,
TA-0067-1,EMP-0067,TEAM-FRONTEND,2024-08-03,,TRUE,STANDARD,
TA-0068-1,EMP-0068,TEAM-FRONTEND,2025-10-06,,TRUE,STANDARD,
TA-0069-1,EMP-0069,TEAM-FRONTEND,2017-12-09,,TRUE,STANDARD,
TA-0070-1,EMP-0070,TEAM-FRONTEND,2018-02-12,,TRUE,STANDARD,
TA-0071-1,EMP-0071,TEAM-FRONTEND,2019-04-15,,TRUE,STANDARD,
TA-0072-1,EMP-0072,TEAM-FRONTEND,2020-06-18,,TRUE,STANDARD,
TA-0073-1,EMP-0073,TEAM-FRONTEND,2021-08-21,,TRUE,STANDARD,
TA-0074-1,EMP-0074,TEAM-FRONTEND,2022-10-24,,TRUE,STANDARD,
TA-0075-1,EMP-0075,TEAM-FRONTEND,2023-12-01,,TRUE,STANDARD,
TA-0076-1,EMP-0076,TEAM-FRONTEND,2024-02-04,,TRUE,STANDARD,
TA-0077-1,EMP-0077,TEAM-FRONTEND,2025-04-07,,TRUE,STANDARD,
TA-0078-1,EMP-0078,TEAM-BACKEND,2017-07-05,,TRUE,STANDARD,
TA-0079-1,EMP-0079,TEAM-BACKEND,2018-09-08,,TRUE,STANDARD,
TA-0080-1,EMP-0080,TEAM-BACKEND,2019-11-11,,TRUE,STANDARD,
TA-0081-1,EMP-0081,TEAM-BACKEND,2020-01-14,,TRUE,STANDARD,
TA-0082-1,EMP-0082,TEAM-BACKEND,2021-03-17,,TRUE,STANDARD,
TA-0083-1,EMP-0083,TEAM-BACKEND,2026-06-14,,TRUE,STANDARD,
TA-0084-1,EMP-0084,TEAM-BACKEND,2023-07-23,,TRUE,STANDARD,
TA-0085-1,EMP-0085,TEAM-DATAPLATFORM,2020-08-10,,TRUE,STANDARD,
TA-0086-1,EMP-0086,TEAM-DATAPLATFORM,2021-10-13,,TRUE,STANDARD,
TA-0087-1,EMP-0087,TEAM-DATAPLATFORM,2022-12-16,,TRUE,STANDARD,
TA-0088-1,EMP-0088,TEAM-DATAPLATFORM,2023-02-19,,TRUE,STANDARD,
TA-0089-1,EMP-0089,TEAM-DATAPLATFORM,2024-04-22,,TRUE,STANDARD,
TA-0090-1,EMP-0090,TEAM-DATAPLATFORM,2025-06-25,,TRUE,STANDARD,
TA-0091-1,EMP-0091,TEAM-DATAPLATFORM,2017-08-02,,TRUE,STANDARD,
TA-0092-1,EMP-0092,TEAM-DATAPLATFORM,2018-10-05,,TRUE,STANDARD,
TA-0093-1,EMP-0093,TEAM-DATAPLATFORM,2019-12-08,,TRUE,STANDARD,
TA-0094-1,EMP-0094,TEAM-DATAPLATFORM,2020-02-11,,TRUE,STANDARD,
TA-0095-1,EMP-0095,TEAM-DATAPLATFORM,2021-04-14,,TRUE,STANDARD,
TA-0096-1,EMP-0096,TEAM-INFRA,2023-09-15,,TRUE,STANDARD,
TA-0097-1,EMP-0097,TEAM-INFRA,2024-11-18,,TRUE,STANDARD,
TA-0098-1,EMP-0098,TEAM-INFRA,2025-01-21,,TRUE,STANDARD,
TA-0099-1,EMP-0099,TEAM-INFRA,2017-03-24,,TRUE,STANDARD,
TA-0100-1,EMP-0100,TEAM-INFRA,2018-05-01,,TRUE,STANDARD,
TA-0101-1,EMP-0101,TEAM-INFRA,2019-07-04,,TRUE,STANDARD,
TA-0102-1,EMP-0102,TEAM-SECURITY,2017-10-20,,TRUE,STANDARD,
TA-0103-1,EMP-0103,TEAM-SECURITY,2018-12-23,,TRUE,STANDARD,
TA-0104-1,EMP-0104,TEAM-SECURITY,2019-02-26,,TRUE,STANDARD,
TA-0105-1,EMP-0105,TEAM-SECURITY,2020-04-03,,TRUE,STANDARD,
TA-0106-1,EMP-0106,TEAM-SECURITY,2021-06-06,,TRUE,STANDARD,
TA-0107-1,EMP-0107,TEAM-SECURITY,2022-08-09,,TRUE,STANDARD,
TA-0108-1,EMP-0108,TEAM-SECURITY,2023-10-12,,TRUE,STANDARD,
TA-0109-1,EMP-0109,TEAM-SECURITY,2024-12-15,,TRUE,STANDARD,
TA-0110-1,EMP-0110,TEAM-SALES,2020-11-25,,TRUE,STANDARD,
TA-0111-1,EMP-0111,TEAM-SALES,2021-01-02,,TRUE,STANDARD,
TA-0112-1,EMP-0112,TEAM-SALES,2022-03-05,,TRUE,STANDARD,
TA-0113-1,EMP-0113,TEAM-SALES,2023-05-08,,TRUE,STANDARD,
TA-0114-1,EMP-0114,TEAM-SALES,2024-07-11,,TRUE,STANDARD,
TA-0115-1,EMP-0115,TEAM-SALES,2025-09-14,,TRUE,STANDARD,
TA-0116-1,EMP-0116,TEAM-SALES,2017-11-17,,TRUE,STANDARD,
TA-0117-1,EMP-0117,TEAM-SALES,2018-01-20,,TRUE,STANDARD,
TA-0118-1,EMP-0118,TEAM-SALES,2026-09-18,,TRUE,STANDARD,
TA-0119-1,EMP-0119,TEAM-SALES,2020-05-26,,TRUE,STANDARD,
TA-0120-1,EMP-0120,TEAM-SALES,2021-07-03,,TRUE,STANDARD,
TA-0121-1,EMP-0121,TEAM-SALES,2022-09-06,,TRUE,STANDARD,
TA-0122-1,EMP-0122,TEAM-SALES,2023-11-09,,TRUE,STANDARD,
TA-0123-1,EMP-0123,TEAM-CS,2023-12-04,,TRUE,STANDARD,
TA-0124-1,EMP-0124,TEAM-CS,2019-04-15,2022-09-30,TRUE,STANDARD,1차 근무
TA-0124-2,EMP-0124,TEAM-CS,2024-02-01,,TRUE,STANDARD,재입사 후 복귀
TA-0125-1,EMP-0125,TEAM-CS,2025-04-10,,TRUE,STANDARD,
TA-0126-1,EMP-0126,TEAM-CS,2017-06-13,,TRUE,STANDARD,
TA-0127-1,EMP-0127,TEAM-CS,2018-08-16,,TRUE,STANDARD,
TA-0128-1,EMP-0128,TEAM-PARTNER,2017-01-09,,TRUE,STANDARD,
TA-0129-1,EMP-0129,TEAM-PARTNER,2018-03-12,,TRUE,STANDARD,
TA-0130-1,EMP-0130,TEAM-PARTNER,2019-05-15,,TRUE,STANDARD,
TA-0131-1,EMP-0131,TEAM-PARTNER,2020-07-18,,TRUE,STANDARD,
TA-0132-1,EMP-0132,TEAM-PARTNER,2021-09-21,,TRUE,STANDARD,
TA-0133-1,EMP-0133,TEAM-PARTNER,2022-11-24,,TRUE,STANDARD,
TA-0134-1,EMP-0134,TEAM-PARTNER,2023-01-01,,TRUE,STANDARD,
TA-0135-1,EMP-0135,TEAM-PARTNER,2024-03-04,,TRUE,STANDARD,
TA-0136-1,EMP-0136,TEAM-PARTNER,2025-05-07,,TRUE,STANDARD,
TA-0137-1,EMP-0137,TEAM-PARTNER,2017-07-10,,TRUE,STANDARD,
TA-0138-1,EMP-0138,TEAM-REGION,2020-02-14,,TRUE,STANDARD,
TA-0139-1,EMP-0139,TEAM-REGION,2021-04-17,,TRUE,STANDARD,
TA-0140-1,EMP-0140,TEAM-REGION,2022-06-20,,TRUE,STANDARD,
TA-0141-1,EMP-0141,TEAM-REGION,2023-08-23,,TRUE,STANDARD,
TA-0142-1,EMP-0142,TEAM-REGION,2024-10-26,,TRUE,STANDARD,
TA-0143-1,EMP-0143,TEAM-REGION,2025-12-03,,TRUE,STANDARD,
TA-0144-1,EMP-0144,TEAM-REGION,2017-02-06,,TRUE,STANDARD,
TA-0145-1,EMP-0145,TEAM-REGION,2018-04-09,2026-01-20,TRUE,STANDARD,
TA-0146-1,EMP-0146,TEAM-REGION,2019-06-12,,TRUE,STANDARD,
TA-0147-1,EMP-0147,TEAM-CRM,2023-03-19,,TRUE,STANDARD,
TA-0148-1,EMP-0148,TEAM-CRM,2024-05-22,,TRUE,STANDARD,
TA-0149-1,EMP-0149,TEAM-CRM,2025-07-25,,TRUE,STANDARD,
TA-0150-1,EMP-0150,TEAM-CRM,2017-09-02,,TRUE,STANDARD,
TA-0151-1,EMP-0151,TEAM-CRM,2018-11-05,,TRUE,STANDARD,
TA-0152-1,EMP-0152,TEAM-CRM,2019-01-08,,TRUE,STANDARD,
TA-0153-1,EMP-0153,TEAM-CRM,2020-03-11,,TRUE,STANDARD,
TA-0154-1,EMP-0154,TEAM-CRM,2021-05-14,,TRUE,STANDARD,
TA-0155-1,EMP-0155,TEAM-CRM,2022-07-17,,TRUE,STANDARD,
TA-0156-1,EMP-0156,TEAM-HR,2017-04-24,,TRUE,STANDARD,
TA-0157-1,EMP-0157,TEAM-HR,2018-06-01,,TRUE,STANDARD,
TA-0158-1,EMP-0158,TEAM-HR,2019-08-04,,TRUE,STANDARD,
TA-0159-1,EMP-0159,TEAM-HR,2020-10-07,,TRUE,STANDARD,
TA-0160-1,EMP-0160,TEAM-HR,2021-12-10,2026-01-31,TRUE,STANDARD,휴직 중 전배 전 소속
TA-0160-2,EMP-0160,TEAM-FINANCE,2026-02-01,,TRUE,STANDARD,휴직 중 전배
TA-0161-1,EMP-0161,TEAM-HR,2022-02-13,,TRUE,STANDARD,
TA-0162-1,EMP-0162,TEAM-HR,2023-04-16,,TRUE,STANDARD,
TA-0163-1,EMP-0163,TEAM-HR,2024-06-19,,TRUE,STANDARD,
TA-0164-1,EMP-0164,TEAM-FINANCE,2020-05-03,,TRUE,STANDARD,
TA-0165-1,EMP-0165,TEAM-FINANCE,2021-07-06,,TRUE,STANDARD,
TA-0166-1,EMP-0166,TEAM-FINANCE,2022-09-09,,TRUE,STANDARD,
TA-0167-1,EMP-0167,TEAM-FINANCE,2023-11-12,,TRUE,STANDARD,
TA-0168-1,EMP-0168,TEAM-FINANCE,2024-01-15,,TRUE,STANDARD,
TA-0169-1,EMP-0169,TEAM-FINANCE,2025-03-18,,TRUE,STANDARD,
TA-0170-1,EMP-0170,TEAM-FINANCE,2017-05-21,,TRUE,STANDARD,
TA-0171-1,EMP-0171,TEAM-FINANCE,2018-07-24,,TRUE,STANDARD,
TA-0172-1,EMP-0172,TEAM-FINANCE,2019-09-01,,TRUE,STANDARD,
TA-0173-1,EMP-0173,TEAM-FINANCE,2026-07-06,,TRUE,STANDARD,
TA-0174-1,EMP-0174,TEAM-LEGAL,2023-06-08,,TRUE,STANDARD,
TA-0175-1,EMP-0175,TEAM-LEGAL,2024-08-11,,TRUE,STANDARD,
TA-0176-1,EMP-0176,TEAM-LEGAL,2025-10-14,,TRUE,STANDARD,
TA-0177-1,EMP-0177,TEAM-LEGAL,2017-12-17,,TRUE,STANDARD,
TA-0178-1,EMP-0178,TEAM-LEGAL,2018-02-20,,TRUE,STANDARD,
TA-0179-1,EMP-0179,TEAM-LEGAL,2019-04-23,,TRUE,STANDARD,
TA-0180-1,EMP-0180,TEAM-LEGAL,2020-06-26,,TRUE,STANDARD,
TA-0181-1,EMP-0181,TEAM-BIZOPS,2017-07-13,,TRUE,STANDARD,
TA-0182-1,EMP-0182,TEAM-BIZOPS,2018-09-16,,TRUE,STANDARD,
TA-0183-1,EMP-0183,TEAM-BIZOPS,2019-11-19,,TRUE,STANDARD,
TA-0184-1,EMP-0184,TEAM-BIZOPS,2020-01-22,,TRUE,STANDARD,
TA-0185-1,EMP-0185,TEAM-BIZOPS,2021-03-25,,TRUE,STANDARD,
TA-0186-1,EMP-0186,TEAM-BIZOPS,2022-05-02,,TRUE,STANDARD,
TA-0187-1,EMP-0187,TEAM-BIZOPS,2023-07-05,,TRUE,STANDARD,
TA-0188-1,EMP-0188,TEAM-BIZOPS,2024-09-08,,TRUE,STANDARD,
TA-0189-1,EMP-0189,TEAM-BIZOPS,2025-11-11,,TRUE,STANDARD,
TA-0190-1,EMP-0190,TEAM-BIZOPS,2017-01-14,,TRUE,STANDARD,
TA-0191-1,EMP-0191,TEAM-BIZOPS,2018-03-17,,TRUE,STANDARD,
TA-0192-1,EMP-0192,TEAM-ITSUPPORT,2020-08-18,,TRUE,STANDARD,
TA-0193-1,EMP-0193,TEAM-ITSUPPORT,2021-10-21,,TRUE,STANDARD,
TA-0194-1,EMP-0194,TEAM-ITSUPPORT,2026-04-15,,TRUE,STANDARD,
TA-0195-1,EMP-0195,TEAM-ITSUPPORT,2023-02-01,,TRUE,STANDARD,
TA-0196-1,EMP-0196,TEAM-ITSUPPORT,2024-04-04,,TRUE,STANDARD,
TA-0197-1,EMP-0197,TEAM-ITSUPPORT,2025-06-07,,TRUE,STANDARD,
TA-0198-1,EMP-0198,TEAM-ITSUPPORT,2017-08-10,,TRUE,STANDARD,
TA-0199-1,EMP-0199,TEAM-ITSUPPORT,2018-10-13,,TRUE,STANDARD,
TA-0200-1,EMP-0200,TEAM-ITSUPPORT,2019-12-16,2026-04-30,TRUE,STANDARD,기준일 당일 퇴사
